Código,Nome,Município,Área,Total de Famílias,Total Famílias 2,Fase,Tipo,Número,Data da Criação,Obtenção,Data da Obtenção,Município IBGE
MT0739000,PE VILA RURAL - BOA ESPERANÇA,PARANAITA,"92,8204",48,49,4,3,46,09/09/2005,Reconhecimento,09/09/2005,Paranaíta
MT0740000,PE VILA RURAL MODELO FITOTERAPICOS,MIRASSOL D'OESTE,"32,2369",25,25,4,3,47,09/09/2005,Reconhecimento,09/09/2005,Mirassol D'oeste
MT0741000,PE VILA RURAL - PAI HEROI,TABAPORA,"96,7207",44,45,3,3,48,09/09/2005,Reconhecimento,09/09/2005,Tabaporã
MT0742000,PE VILA RURAL PORTAL,POCONE,"927,3242",83,90,3,3,49,09/09/2005,Reconhecimento,09/09/2005,Poconé
MT0743000,PE SALTO DAS NUVENS,SALTO DO CEU,"85,715",25,26,4,3,50,09/09/2005,Reconhecimento,09/09/2005,Salto Do Céu
MT0744000,PDS BORDOLÃNDIA,BOM JESUS DO ARAGUAIA,"50.062,03",606,1202,3,18,53,22/10/2007,Desapropriação,30/09/2004,Bom Jesus Do Araguaia
MT0746000,PA SANTO ANTONIO,NOVA MARINGA,"659,84",15,25,3,1,57,17/11/2005,Desapropriação,17/11/2005,Nova Maringá
MT0747000,PA VALE DO URU,TERRA NOVA DO NORTE,"5.273,04",150,150,3,1,56,17/11/2005,Desapropriação,13/05/2005,Terra Nova Do Norte
MT0750000,PA 28 DE DEZEMBRO,PEDRA PRETA,"1.263,33",41,42,3,1,40,22/12/2008,Desapropriação,23/12/2003,Pedra Preta
MT0753000,PA MÁRTIRES DOS CARAJÁS,POXOREO,"3.225,34",102,120,3,1,60,17/11/2005,Desapropriação,17/11/2005,Poxoréu
MT0754000,PA PONTE DE BARRO,SANTA RITA DO TRIVELATO,"4.362,02",46,60,6,1,9,27/03/2006,Desapropriação,27/03/2006,Santa Rita Do Trivelato
MT0755000,PA FACÃO/BOM JARDIM,CACERES,"4.717,99",184,184,3,1,8,27/03/2006,Desapropriação,27/03/2006,Cáceres
MT0756000,PA DIOCESE DE DIAMANTINO/MT,DIAMANTINO,"459,2872",26,26,3,1,10,27/03/2006,Desapropriação,27/03/2006,Diamantino
MT0758000,PA MARUMBI,VILA BELA DA SANTISSIMA TRINDADE,"5.331,12",85,86,3,1,26,25/09/2006,Desapropriação,31/05/2005,Vila Bela Da Santíssima Trindade
MT0760000,PA PINHEIRO VELHO,CARLINDA,"3.010,57",77,68,3,1,64,27/12/2006,Desapropriação,05/10/2005,Carlinda
MT0761000,PA SANTO ANTONIO (NOVA CANAA DO NORTE),NOVA CANAA DO NORTE,"11.559,35",149,150,3,1,65,27/12/2006,Desapropriação,28/12/2005,Nova Canaã Do Norte
MT0764000,PA SÃO JUDAS,NOVA LACERDA,"7.056,93",180,180,3,1,37,02/10/2006,Desapropriação,18/08/2006,Nova Lacerda
MT0768000,PA SANTO ANTONIO I,NOVA MARINGA,"433,3772",8,18,3,1,58,17/11/2005,Desapropriação,17/11/2005,Nova Maringá
MT0769000,PA SANTO ANTONIO II,NOVA MARINGA,"766,3",14,31,3,1,59,17/11/2005,Desapropriação,17/11/2005,Nova Maringá
MT0776000,PA PLANALTO DO IRIRI,PEIXOTO DE AZEVEDO,"22.277,71",185,222,3,1,68,18/11/2005,Arrecadação,16/11/2005,Peixoto De Azevedo
MT0777000,PA ARAUNA,NOVO MUNDO,"3.522,78",61,75,6,1,69,18/11/2005,Arrecadação,18/11/2005,Novo Mundo
MT0778000,PA ARAUNA II,NOVO MUNDO,"1.635,37",32,38,3,1,70,18/11/2005,Arrecadação,18/11/2005,Novo Mundo
MT0780000,PA PAU D´ALHO,RONDONOPOLIS,"645,6264",22,22,6,1,71,23/11/2005,Desapropriação,23/11/2005,Rondonópolis
MT0781000,PA VISTA ALEGRE,PEDRA PRETA,"356,7353",17,17,3,1,72,23/11/2005,Desapropriação,23/11/2005,Pedra Preta
MT0783000,PE VILA RURAL SÃO PEDRO,FIGUEIROPOLIS D'OESTE,"68,5302",24,26,3,3,74,30/11/2005,Reconhecimento,30/11/2005,Figueirópolis D'oeste
MT0784000,PE VILA RURAL DOMINGOS JOSE DE MORAES - MEU SONHO,PORTO ESPERIDIAO,"68,4893",44,46,3,3,75,30/11/2005,Reconhecimento,30/11/2005,Porto Esperidião
MT0785000,PE VILA RURAL TIA IRENE,SAO FELIX DO ARAGUAIA,"85,0638",16,18,3,3,77,05/12/2005,Reconhecimento,05/12/2005,São Félix Do Araguaia
MT0786000,PE VILA RURAL ZECA DO DOCA,SAO FELIX DO ARAGUAIA,"57,792",55,55,3,3,78,05/12/2005,Reconhecimento,05/12/2005,São Félix Do Araguaia
MT0787000,PE VILA RURAL NOVO HORIZONTE II,COCALINHO,"165,5329",80,80,3,3,79,30/11/2005,Reconhecimento,05/12/2005,Cocalinho
MT0788000,PE JOSE CANDIDO MELHORANÇA,APIACAS,"5.000,00",96,102,3,3,11,27/04/2006,Reconhecimento,27/04/2006,Apiacás
MT0789000,PA BOA ESPERANÇA I,JUINA,"330,9",0,8,3,1,28,25/09/2006,Desapropriação,25/09/2006,Juína
MT0790000,PA BOA ESPERANÇA IV,JUINA,"2.641,55",13,60,3,1,46,14/11/2006,Desapropriação,14/11/2006,Juína
MT0793000,PA CANÃA I,QUERENCIA,"3.769,14",39,75,3,1,36,02/10/2006,Desapropriação,04/10/2005,Querência
MT0794000,PA SÃO PEDRO/CAMBARA,VILA BELA DA SANTISSIMA TRINDADE,"7.432,95",80,81,3,1,39,03/11/2006,Desapropriação,03/11/2006,Vila Bela Da Santíssima Trindade
MT0796000,PA RAIMUNDO VIEIRA,NOVA GUARITA,"2.372,97",65,65,3,1,15,03/08/2006,Desapropriação,03/08/2006,Nova Guarita
MT0797000,PA IRMÃ ELEONORA,NOVA GUARITA,"233,8315",0,10,3,1,18,21/08/2006,Arrecadação,21/08/2006,Nova Guarita
MT0798000,PA EMA,ALTO PARAGUAI,"5.056,21",122,123,3,1,41,07/11/2006,Desapropriação,07/11/2006,Alto Paraguai
MT0799000,PA PORTO VELHO,SANTA TEREZINHA,"11.367,83",167,217,3,1,60,15/12/2006,Desapropriação,28/12/2005,Santa Terezinha
MT0803000,PA RENASCER LOTE 21,NOVA GUARITA,"241,6774",7,10,3,1,66,27/12/2006,Arrecadação,27/12/2006,Nova Guarita
MT0804000,PA RENASCER LOTE 30,NOVA GUARITA,"679,4362",0,27,3,1,67,27/12/2006,Arrecadação,27/12/2006,Nova Guarita
